anime,count,appearances
the asterisk war,1,ken
the café terrace and its goddesses,1,ken
the case study of vanitas,1,ken
the comic artist & his assistants,1,ken
the day i became a god,1,ken
the detective is already dead,1,ken
the devil is a part-timer!,1,ken
the dreaming boy is a realist,1,ken
the eden of grisaia,1,ken
the eminence in shadow,1,ken
"the fruit of evolution: before i knew it, my life had it made",1,ken
the fruit of grisaia,1,ken
the future diary,1,ken
the genius prince's guide to raising a nation out of debt,1,ken
the girl in the library ～fall of purity～ the animation,1,ken
the god of high school,1,ken
the greatest demon lord is reborn as a typical nobody,1,ken
the helpful fox senko-san,1,ken
the hidden dungeon only i can enter,1,ken
the honor at magic high school,1,ken
the irregular at magic high school,1,ken
the labyrinth of grisaia,1,ken
the maid i hired recently is mysterious,1,ken
the master of ragnarök & blesser of einherjar,1,ken
the ones within,1,ken
the pet girl of sakurasou,1,ken
the ryuo's work is never done!,1,ken
the slime diaries,1,ken
the strongest sage with the weakest crest,1,ken
the testament of sister new devil,1,ken
the vexations of a shut-in vampire princess,1,ken
the world's finest assassin gets reincarnated in another world as an aristocrat,1,ken
this art club has a problem!,1,ken
tinderbox,1,ken
to love ru,1,ken
toaru kagaku no accelerator,1,ken
toaru kagaku no railgun,1,ken
toaru kagaku no railgun t,1,ken
toaru kagaku no suzushina yuriko,1,ken
toilet-bound hanako-kun,1,ken
tokyo ghoul,1,ken
tokyo ravens,1,ken
tokyo revengers,1,ken
"tooi kimi ni, boku wa todokanai",1,ken
toriko no chigiri,1,ken
triage x,1,ken
triangle blue,1,ken
tropical kiss,1,ken
true blue,1,ken
tsugunai,1,ken
tsukimonogatari,1,ken
tsuredure children,1,ken
uchi no otouto maji de dekain dakedo mi ni konai?,1,ken
unbreakable machine-doll,1,ken
undefeated bahamut chronicle,1,ken
unlimited fafnir,1,ken
unnamed memory,1,ken
vampire vixen,1,ken
violet evergarden,1,ken
vivy -fluorite eye's song-,1,ken
wandering witch: the journey of elaina,1,ken
wanna. spartansex spermax!!!,1,ken
